"HMDB_accession","Med"
"HMDB0000001",12.7
"HMDB0000002",0.04
"HMDB0000005",8.6
"HMDB0000008",17.45
"HMDB0000011",86
"HMDB0000012",0.15
"HMDB0000014",0.2
"HMDB0000015",0.025
"HMDB0000016",0.036545
"HMDB0000017",0.01835
"HMDB0000019",12.5
"HMDB0000020",6.5
"HMDB0000021",0.00069
"HMDB0000022",0.0025
"HMDB0000023",20.5
"HMDB0000027",0.01015
"HMDB0000030",0.0024
"HMDB0000031",0.060325
"HMDB0000032",2.825
"HMDB0000033",3.1
"HMDB0000034",0.47
"HMDB0000036",0.24
"HMDB0000037",0.000139
"HMDB0000038",0.006
"HMDB0000039",1
"HMDB0000042",36.15
"HMDB0000043",44.185
"HMDB0000044",42.4145
"HMDB0000045",10.1
"HMDB0000050",0.2975
"HMDB0000051",24.75
"HMDB0000052",0
"HMDB0000053",0.00315
"HMDB0000054",12
"HMDB0000056",3
"HMDB0000058",0.0085
"HMDB0000060",30
"HMDB0000062",NA
"HMDB0000063",0.199
"HMDB0000064",35.25
"HMDB0000067",NA
"HMDB0000068",0.00051
"HMDB0000070",1.33
"HMDB0000073",NA
"HMDB0000076",0.31
"HMDB0000077",0.005825
"HMDB0000078",54
"HMDB0000085",0
"HMDB0000086",33.5
"HMDB0000087",11.74
"HMDB0000089",0.25
"HMDB0000092",2.25
"HMDB0000094",101.1
"HMDB0000097",9.65
"HMDB0000098",1797.5
"HMDB0000099",0.17
"HMDB0000107",0.59
"HMDB0000108",15
"HMDB0000112",0.115
"HMDB0000115",20.95
"HMDB0000118",0.047
"HMDB0000119",3.05
"HMDB0000121",0.0205
"HMDB0000122",4450
"HMDB0000123",200
"HMDB0000124",10.05
"HMDB0000125",11.45
"HMDB0000126",30
"HMDB0000127",165
"HMDB0000128",1.9
"HMDB0000130",0.043
"HMDB0000131",51.5
"HMDB0000133",0.8
"HMDB0000134",0.995
"HMDB0000138",0.6
"HMDB0000139",7.5
"HMDB0000142",69.65
"HMDB0000143",88.3
"HMDB0000145",0.00017
"HMDB0000148",37
"HMDB0000149",26.95
"HMDB0000151",0.000099
"HMDB0000152",0.825
"HMDB0000153",0.00305
"HMDB0000156",7.6
